"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
BEL1190811021DSSC792;105;122;38473;F;BEL;.;BEL;.;02/11/1908;04/03/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190811031DSSC793;106;130;38846;F;BEL;.;BEL;.;03/11/1908;13/03/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190811141DSSC794;106;64;38780;F;BEL;.;BEL;.;14/11/1908;17/01/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190811271DSSC796;106;79;38795;F;BEL;.;BEL;.;27/11/1908;14/02/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190811301DSSC798;105;53;38404;F;BEL;.;BEL;.;30/11/1908;22/01/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190901041DSSC801;105;9;38360;F;BEL;.;BEL;.;04/01/1909;13/01/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190901181DSSC803;105;265;38616;F;BEL;.;BEL;.;18/01/1909;10/10/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190902081DSSC807;105;20;38371;F;BEL;.;BEL;.;08/02/1909;28/02/2014;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190902101DSSC808;106;28;38744;F;BEL;.;BEL;.;10/02/1909;10/03/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190902161DSSC809;106;21;38737;F;BEL;.;BEL;.;16/02/1909;09/03/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
BEL1190902271DSSC810;106;168;38884;F;BEL;.;BEL;.;27/02/1909;14/08/2015;YES;exhaustive;2015;.;.;.;COPY;COPY;.;.;.;.;2
