"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
AUT1189501181DSC1;110;137;40314;F;AUT;.;AUT;AT123;18/01/1895;04/06/2005;YES;exhaustive;2006;RO;.;.;.;.;.;.;.;.;2
AUT1189802241DSC2;110;111;40287;F;HRV;.;AUT;AT221;24/02/1898;14/06/2008;YES;exhaustive;2009;RO;.;.;.;.;.;.;.;.;2
AUT1190012241DSC4;111;51;40593;F;AUT;.;AUT;AT130;24/12/1900;13/02/2012;YES;exhaustive;2013;RO;.;.;.;.;.;.;.;.;2
AUT1190108121DSC5;111;22;40565;F;AUT;.;AUT;AT315;12/08/1901;03/09/2012;YES;exhaustive;2013;RO;.;.;.;.;.;.;.;.;2
AUT1190109271DSC3;110;314;40491;F;AUT;.;AUT;AT323;27/09/1901;06/08/2012;YES;exhaustive;2013;RO;.;.;.;.;.;.;.;.;2
AUT1190211241DSC6;110;5;40183;F;AUT;.;AUT;AT130;24/11/1902;29/11/2012;YES;exhaustive;2013;RO;.;.;.;.;.;.;.;.;2
