"IDNUMBER";"AGEYEARS";"DAYSSINCEBD";"AGEDAYS";"SEX";"BCOUNTRY";"BREGION";"DCOUNTRY";"DREGION";"BDATE";"DDATE";"VALIDATION";"VALIDATIONTYPE";"VALIDATIONYEAR";"SOURCE1";"SOURCE2";"SOURCE3";"BCERTIF";"DCERTIF";"CENSUS";"CENSUSYEAR";"PROOFS";"NOTE";"UPDATE"
NOR0189210231DSC5;110;185;40361;M;NOR;.;NOR;.;23/10/1892;26/04/2003;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1187612211DSC10;112;61;40968;F;NOR;.;NOR;.;21/12/1876;20/02/1989;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1187812021DSC1;110;55;40232;F;NOR;.;NOR;.;02/12/1878;26/01/1989;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1187912021DSC2;110;15;40192;F;NOR;.;NOR;.;02/12/1879;17/12/1989;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1188611191DSC9;111;107;40649;F;NOR;.;NOR;.;19/11/1886;06/03/1998;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1188912161DSC4;110;69;40245;F;NOR;.;NOR;.;16/12/1889;23/02/2000;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1189311131DSC6;110;39;40215;F;NOR;.;NOR;.;13/11/1893;22/12/2003;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
NOR1189312021DSC7;110;92;40268;F;NOR;.;NOR;.;02/12/1893;03/03/2004;YES;exhaustive;.;DSP;.;.;.;.;.;.;.;.;1
